日期,开盘价,最高价,最低价,收盘价,成交量
2005/2/23,0.881,0.882,0.866,0.876,"1,269,742,542.00"
2005/2/24,0.876,0.876,0.868,0.876,"451,614,223.00"
2005/2/25,0.877,0.887,0.875,0.88,"506,460,695.00"
2005/2/28,0.878,0.879,0.87,0.872,"187,965,193.00"
2005/3/1,0.87,0.873,0.865,0.867,"208,094,456.00"
2005/3/2,0.867,0.874,0.857,0.859,"249,274,643.00"
2005/3/3,0.858,0.861,0.854,0.859,"100,153,220.00"
2005/3/4,0.859,0.865,0.857,0.86,"129,800,189.00"
2005/3/7,0.86,0.865,0.86,0.862,"116,789,645.00"
2005/3/8,0.864,0.875,0.863,0.874,"298,505,387.00"
2005/3/9,0.874,0.878,0.869,0.873,"200,006,304.00"
2005/3/10,0.872,0.872,0.852,0.853,"333,859,748.00"
2005/3/11,0.853,0.856,0.85,0.855,"132,344,547.00"
2005/3/14,0.855,0.864,0.845,0.857,"233,509,499.00"
2005/3/15,0.856,0.856,0.842,0.843,"282,961,631.00"
2005/3/16,0.841,0.843,0.832,0.834,"219,444,991.00"
2005/3/17,0.834,0.837,0.827,0.828,"130,062,534.00"
2005/3/18,0.828,0.832,0.821,0.824,"227,792,257.00"
2005/3/21,0.824,0.826,0.821,0.824,"103,273,002.00"
2005/3/22,0.824,0.825,0.807,0.808,"162,294,082.00"
2005/3/23,0.807,0.811,0.8,0.804,"145,295,510.00"
2005/3/24,0.802,0.807,0.797,0.806,"118,388,057.00"
2005/3/25,0.806,0.809,0.802,0.805,"108,223,365.00"
2005/3/28,0.803,0.805,0.797,0.802,"71,266,320.00"
2005/3/29,0.802,0.811,0.802,0.805,"144,018,030.00"
2005/3/30,0.804,0.804,0.791,0.793,"192,659,445.00"
2005/3/31,0.792,0.795,0.786,0.794,"128,738,277.00"
2005/4/1,0.793,0.834,0.79,0.829,"502,390,601.00"
2005/4/4,0.814,0.818,0.804,0.81,"232,991,558.00"
2005/4/5,0.808,0.813,0.802,0.805,"129,587,051.00"
2005/4/6,0.802,0.825,0.799,0.818,"261,361,039.00"
2005/4/7,0.818,0.839,0.815,0.824,"363,451,793.00"
2005/4/8,0.824,0.836,0.819,0.836,"243,258,274.00"
2005/4/11,0.833,0.841,0.827,0.83,"163,205,841.00"
2005/4/12,0.83,0.832,0.82,0.821,"211,489,793.00"
2005/4/13,0.831,0.842,0.83,0.84,"403,705,535.00"
2005/4/14,0.84,0.841,0.828,0.828,"207,716,078.00"
2005/4/15,0.827,0.827,0.817,0.818,"280,301,112.00"
2005/4/18,0.815,0.819,0.805,0.808,"165,191,131.00"
2005/4/19,0.808,0.812,0.804,0.811,"81,425,678.00"
2005/4/20,0.81,0.81,0.796,0.797,"218,490,295.00"
2005/4/21,0.798,0.804,0.793,0.797,"238,539,371.00"
2005/4/22,0.799,0.802,0.795,0.798,"246,711,082.00"
2005/4/25,0.797,0.797,0.786,0.79,"316,891,803.00"
2005/4/26,0.79,0.796,0.788,0.793,"227,232,716.00"
2005/4/27,0.796,0.796,0.787,0.788,"223,597,026.00"
2005/4/28,0.787,0.798,0.783,0.797,"310,325,839.00"
