"SgnDate","Term","Shibor"
"2006-10-08","7天","2.29300"
"2006-10-08","90天","2.61100"
"2006-10-08","9个月","2.85210"
"2006-10-08","6个月","2.74040"
"2006-10-08","14天","2.38480"
"2006-10-08","30天","2.53190"
"2006-10-08","1天","2.11840"
"2006-10-08","1年","2.95430"
"2006-10-09","7天","2.29600"
"2006-10-09","90天","2.62480"
"2006-10-09","14天","2.39720"
"2006-10-09","1年","2.95490"
"2006-10-09","6个月","2.74310"
"2006-10-09","30天","2.55220"
"2006-10-09","1天","2.09900"
"2006-10-09","9个月","2.85140"
"2006-10-10","7天","2.29710"
"2006-10-10","90天","2.63250"
"2006-10-10","1年","2.95310"
"2006-10-10","6个月","2.74540"
"2006-10-10","9个月","2.85440"
"2006-10-10","14天","2.42360"
"2006-10-10","30天","2.57390"
"2006-10-10","1天","2.09220"
"2006-10-11","90天","2.63380"
"2006-10-11","1天","2.09550"
"2006-10-11","1年","2.95590"
"2006-10-11","7天","2.29320"
"2006-10-11","30天","2.58640"
"2006-10-11","6个月","2.74750"
"2006-10-11","14天","2.49300"
"2006-10-11","9个月","2.85470"
"2006-10-12","7天","2.29040"
"2006-10-12","90天","2.63800"
"2006-10-12","9个月","2.85700"
"2006-10-12","6个月","2.74700"
"2006-10-12","14天","2.52400"
"2006-10-12","30天","2.59000"
"2006-10-12","1天","2.09430"
"2006-10-12","1年","2.95500"
"2006-10-13","7天","2.29190"
"2006-10-13","90天","2.64200"
"2006-10-13","14天","2.55710"
"2006-10-13","1年","2.95430"
"2006-10-13","6个月","2.74650"
"2006-10-13","30天","2.60450"
"2006-10-13","1天","2.08890"
"2006-10-13","9个月","2.85720"
"2006-10-16","7天","2.31440"
"2006-10-16","90天","2.64590"
"2006-10-16","1年","2.95460"
"2006-10-16","6个月","2.74820"
"2006-10-16","9个月","2.85660"
"2006-10-16","14天","2.55530"
"2006-10-16","30天","2.61050"
"2006-10-16","1天","2.08010"
"2006-10-17","90天","2.64840"
"2006-10-17","1天","2.07460"
"2006-10-17","1年","2.95500"
"2006-10-17","7天","2.37900"
"2006-10-17","30天","2.61320"
"2006-10-17","6个月","2.74860"
"2006-10-17","14天","2.54910"
"2006-10-17","9个月","2.85700"
"2006-10-18","7天","2.46280"
"2006-10-18","90天","2.64830"
"2006-10-18","9个月","2.85670"
"2006-10-18","6个月","2.74880"
"2006-10-18","14天","2.55490"
"2006-10-18","30天","2.61590"
"2006-10-18","1天","2.07230"
"2006-10-18","1年","2.95600"
"2006-10-19","7天","2.49220"
"2006-10-19","90天","2.64830"
"2006-10-19","14天","2.55800"
"2006-10-19","1年","2.95560"
"2006-10-19","6个月","2.74850"
"2006-10-19","30天","2.61630"
"2006-10-19","1天","2.06670"
"2006-10-19","9个月","2.85650"
"2006-10-20","7天","2.49010"
