期权代码,交易代码,期权简称,标的代码,类型,认购/认沽,行权方式,行权价,合约单位,到期月份,上市日,到期日,行权日,行权交收日,上市首日参考价,挂牌原因,结算方式,交易状态
10000001,510050C1503M02200,50ETF购2015年3月2200,510050.SH,ETF期权,认购,欧式,2.2,10000,2015-03,2015-02-09,2015-03-25,2015-03-25,2015-03-26,0.1812,合约新挂,实物资产,退市
10000002,510050C1503M02250,50ETF购2015年3月2250,510050.SH,ETF期权,认购,欧式,2.25,10000,2015-03,2015-02-09,2015-03-25,2015-03-25,2015-03-26,0.1528,合约新挂,实物资产,退市
10000003,510050C1503M02300,50ETF购2015年3月2300,510050.SH,ETF期权,认购,欧式,2.3,10000,2015-03,2015-02-09,2015-03-25,2015-03-25,2015-03-26,0.1276,合约新挂,实物资产,退市
10000004,510050C1503M02350,50ETF购2015年3月2350,510050.SH,ETF期权,认购,欧式,2.35,10000,2015-03,2015-02-09,2015-03-25,2015-03-25,2015-03-26,0.1054,合约新挂,实物资产,退市
10000005,510050C1503M02400,50ETF购2015年3月2400,510050.SH,ETF期权,认购,欧式,2.4,10000,2015-03,2015-02-09,2015-03-25,2015-03-25,2015-03-26,0.0862,合约新挂,实物资产,退市
10000006,510050P1503M02200,50ETF沽2015年3月2200,510050.SH,ETF期权,认沽,欧式,2.2,10000,2015-03,2015-02-09,2015-03-25,2015-03-25,2015-03-26,0.0788,合约新挂,实物资产,退市
10000007,510050P1503M02250,50ETF沽2015年3月2250,510050.SH,ETF期权,认沽,欧式,2.25,10000,2015-03,2015-02-09,2015-03-25,2015-03-25,2015-03-26,0.1001,合约新挂,实物资产,退市
10000008,510050P1503M02300,50ETF沽2015年3月2300,510050.SH,ETF期权,认沽,欧式,2.3,10000,2015-03,2015-02-09,2015-03-25,2015-03-25,2015-03-26,0.1246,合约新挂,实物资产,退市
10000009,510050P1503M02350,50ETF沽2015年3月2350,510050.SH,ETF期权,认沽,欧式,2.35,10000,2015-03,2015-02-09,2015-03-25,2015-03-25,2015-03-26,0.1522,合约新挂,实物资产,退市
10000010,510050P1503M02400,50ETF沽2015年3月2400,510050.SH,ETF期权,认沽,欧式,2.4,10000,2015-03,2015-02-09,2015-03-25,2015-03-25,2015-03-26,0.1828,合约新挂,实物资产,退市
10000011,510050C1504M02200,50ETF购2015年4月2200,510050.SH,ETF期权,认购,欧式,2.2,10000,2015-04,2015-02-09,2015-04-22,2015-04-22,2015-04-23,0.2176,合约新挂,实物资产,退市
10000012,510050C1504M02250,50ETF购2015年4月2250,510050.SH,ETF期权,认购,欧式,2.25,10000,2015-04,2015-02-09,2015-04-22,2015-04-22,2015-04-23,0.1903,合约新挂,实物资产,退市
10000013,510050C1504M02300,50ETF购2015年4月2300,510050.SH,ETF期权,认购,欧式,2.3,10000,2015-04,2015-02-09,2015-04-22,2015-04-22,2015-04-23,0.1655,合约新挂,实物资产,退市
10000014,510050C1504M02350,50ETF购2015年4月2350,510050.SH,ETF期权,认购,欧式,2.35,10000,2015-04,2015-02-09,2015-04-22,2015-04-22,2015-04-23,0.1431,合约新挂,实物资产,退市
10000015,510050C1504M02400,50ETF购2015年4月2400,510050.SH,ETF期权,认购,欧式,2.4,10000,2015-04,2015-02-09,2015-04-22,2015-04-22,2015-04-23,0.1231,合约新挂,实物资产,退市
10000016,510050P1504M02200,50ETF沽2015年4月2200,510050.SH,ETF期权,认沽,欧式,2.2,10000,2015-04,2015-02-09,2015-04-22,2015-04-22,2015-04-23,0.108,合约新挂,实物资产,退市
