date,ivix
2015/2/10,28.75
2015/2/11,26.44
2015/2/12,25.8
2015/2/13,23.41
2015/2/16,23.71
2015/2/17,24.3
2015/2/25,26.33
2015/2/26,26.1
2015/2/27,27.04
2015/3/2,28.05
2015/3/3,28.45
2015/3/4,27.68
2015/3/5,26.67
2015/3/6,26.47
2015/3/9,27.22
2015/3/10,26.22
2015/3/11,25.86
2015/3/12,25.93
2015/3/13,25.01
2015/3/16,25.14
2015/3/17,25.25
2015/3/18,25.14
2015/3/19,27.3
2015/3/20,26.47
2015/3/23,28.76
2015/3/24,30.67
2015/3/25,30.16
2015/3/26,29.06
2015/3/27,29.28
2015/3/30,27.87
2015/3/31,30.09
2015/4/1,30.36
2015/4/2,31.77
2015/4/3,31.17
2015/4/7,29.51
2015/4/8,31.98
2015/4/9,35.06
2015/4/10,33.41
2015/4/13,36.86
2015/4/14,40.15
2015/4/15,40.13
2015/4/16,37.36
2015/4/17,41.57
2015/4/20,47.75
2015/4/21,46.9
2015/4/22,44.28
2015/4/23,44.72
2015/4/24,45.65
2015/4/27,44.88
2015/4/28,46.59
2015/4/29,46.61
2015/4/30,46.55
2015/5/4,46.13
2015/5/5,45.46
2015/5/6,45.55
2015/5/7,46.78
2015/5/8,44.97
2015/5/11,45.78
2015/5/12,45.97
2015/5/13,46.03
2015/5/14,44.96
2015/5/15,41.44
2015/5/18,37.48
2015/5/19,37.28
2015/5/20,41.52
2015/5/21,42.05
2015/5/22,43.01
2015/5/25,45.8
2015/5/26,45.81
2015/5/27,46.91
2015/5/28,46.63
2015/5/29,47.29
2015/6/1,47.22
2015/6/2,47.61
2015/6/3,47.9
2015/6/4,46.57
2015/6/5,46.6
2015/6/8,43.66
2015/6/9,47.55
2015/6/10,48.07
2015/6/11,49.74
2015/6/12,49.76
2015/6/15,48.06
2015/6/16,47.27
2015/6/17,47.31
2015/6/18,47.08
2015/6/19,46.9
2015/6/23,51.17
2015/6/24,52.05
2015/6/25,47.42
2015/6/26,48.08
2015/6/29,60.09
2015/6/30,59.21
2015/7/1,55.91
2015/7/2,57.54
2015/7/3,55.15
2015/7/6,60.08
2015/7/7,54.84
2015/7/8,51.7
2015/7/9,55.34
2015/7/10,54.02
2015/7/13,52.96
2015/7/14,49.31
2015/7/15,45.06
2015/7/16,41.63
2015/7/17,39.33
2015/7/20,38.73
2015/7/21,38.79
2015/7/22,35.26
2015/7/23,32.98
2015/7/24,33.09
2015/7/27,30.41
2015/7/28,39.52
2015/7/29,41.79
2015/7/30,37.43
2015/7/31,40.17
2015/8/3,40.45
2015/8/4,40.02
2015/8/5,40.26
2015/8/6,41.51
2015/8/7,40.79
2015/8/10,40.75
2015/8/11,40.18
2015/8/12,39.83
2015/8/13,39.61
2015/8/14,39.65
2015/8/17,40.06
2015/8/18,39.07
2015/8/19,37.42
2015/8/20,38.03
2015/8/21,35.2
2015/8/24,35.61
2015/8/25,48.34
2015/8/26,63.79
2015/8/27,61.14
2015/8/28,61.16
2015/8/31,62.28
2015/9/1,63.33
2015/9/2,60.88
2015/9/7,59.49
2015/9/8,47.98
2015/9/9,45.63
2015/9/10,41.78
2015/9/11,40.86
2015/9/14,42.35
2015/9/15,44.63
2015/9/16,41.34
2015/9/17,41.06
2015/9/18,40.19
2015/9/21,39.81
2015/9/22,37.17
2015/9/23,38.93
2015/9/24,37.63
2015/9/25,34.91
2015/9/28,31.93
2015/9/29,31.1
2015/9/30,30.65
2015/10/8,31.7
2015/10/9,30.07
2015/10/12,30.07
2015/10/13,31.95
2015/10/14,31.71
2015/10/15,29.66
2015/10/16,29.26
2015/10/19,30.34
2015/10/20,30.99
2015/10/21,32.76
2015/10/22,31.8
2015/10/23,30.64
2015/10/26,32.39
2015/10/27,30.86
2015/10/28,31.72
2015/10/29,31.76
2015/10/30,28.96
2015/11/2,29.84
2015/11/3,30.01
2015/11/4,30.25
2015/11/5,32.16
2015/11/6,32.45
2015/11/9,41.93
2015/11/10,43.1
2015/11/11,39.62
2015/11/12,38.7
2015/11/13,37.74
2015/11/16,38.37
2015/11/17,37.72
2015/11/18,37.03
2015/11/19,35.99
2015/11/20,34.04
2015/11/23,33.22
2015/11/24,31.83
2015/11/25,32.28
2015/11/26,29.7
2015/11/27,34.58
2015/11/30,34.53
2015/12/1,33.73
2015/12/2,32.45
2015/12/3,32.53
2015/12/4,32.49
2015/12/7,31.6
2015/12/8,31.46
2015/12/9,31.12
2015/12/10,30.86
2015/12/11,30.77
2015/12/14,31.09
2015/12/15,30.47
2015/12/16,30.28
2015/12/17,29.27
2015/12/18,26.08
2015/12/21,26.61
2015/12/22,27.69
2015/12/23,28.04
2015/12/24,27.19
2015/12/25,26.28
2015/12/28,28.13
2015/12/29,27.28
2015/12/30,27.46
2015/12/31,27.95
2016/1/4,33.44
2016/1/5,32.18
2016/1/6,31.51
2016/1/7,23.33
2016/1/8,35.22
2016/1/11,33.81
2016/1/12,35.91
2016/1/13,34.72
2016/1/14,37.8
2016/1/15,35.49
2016/1/18,37.24
2016/1/19,37.35
2016/1/20,36.81
2016/1/21,35.12
2016/1/22,34.87
2016/1/25,34.74
2016/1/26,32.02
2016/1/27,38.46
2016/1/28,37.67
2016/1/29,38.95
2016/2/1,36.37
2016/2/2,35.14
2016/2/3,34.8
2016/2/4,34.52
2016/2/5,35.38
2016/2/15,37.39
2016/2/16,36.65
2016/2/17,35.5
2016/2/18,33.79
2016/2/19,32.22
2016/2/22,31.44
2016/2/23,32.38
2016/2/24,32.48
2016/2/25,33.85
2016/2/26,32.53
2016/2/29,32.63
2016/3/1,31.51
2016/3/2,33.15
2016/3/3,33.12
2016/3/4,33.01
2016/3/7,33.82
2016/3/8,33.42
2016/3/9,33.47
2016/3/10,33.64
2016/3/11,33.64
2016/3/14,33.28
2016/3/15,32.64
2016/3/16,31.89
2016/3/17,31.25
2016/3/18,31.16
2016/3/21,31.56
2016/3/22,33.11
2016/3/23,34.04
2016/3/24,32.9
2016/3/25,30.98
2016/3/28,31.1
2016/3/29,31.21
